wrinkles_severity,acne_severity,dark_circle_severity,pigmentation,skin_type,skin_tone,redness,dark_spots,product_recommendation
0,10,,1,, rkDa,0,5,['sunscreen']
5,9,,0,NORML,fair,9,2,"['toner', 'facewash']"
9,,5,2, norml , medum ,8,10,['facewash']
4,,9,5,oily, Dark,7,10,['serum']
5,3,5,7,sensitive,brown,,9,['sunscreen']
1,7,5,1,DRY,medum,0,5,"['toner', 'facewash', 'moisturizer']"
6,9,4,9,Dry,medum,,10,
,,,7, sensitive ,,5,1,['sunscreen']
6,8,4,, COMBINATION,medium,,2,"['toner', 'facewash']"
3,9,6,9,oily,,7,0,"['toner', 'facewash', 'sunscreen']"
7,4,6,10,COMBINATION, olive ,10,0,"['sunscreen', 'serum']"
1,0,4,5,norml,,9,,['moisturizer']
7,6,4,2,norml,medium,8,4,['serum']
,2,2,5,OILY,olive,0,10,['sunscreen']
3,7,2,4,norml,fair,1,1,"['toner', 'facewash']"
10,6,9,, sensitive ,dark,4,2,serumm
5,9,2,7, COMBINATION,medium,1,2,"['toner', 'facewash']"
7,7,0,7,,medium,9,1,"['toner', 'facewash', 'serum', 'sunscreen']"
6,5,1,4, COMBINATION,fair,6,7,face wash
2,0,,4,OILY,brown,4,6,serumm
0,7,9,4,OILY,dark,,9,['moisturizer']
9,4,,9,Dry,fair,2,1,
5,4,,,dry,FAIR,3,10,['moisturizer']
2,8,,5,OILY,brown,0,9,"['toner', 'facewash']"
10,,5,2, COMBINATION, Dark,2,5,
2,10,9,5,OILY,oivel,4,3,['toner']
7,1,,,oily,ieolv,3,1,moistrzr
6,0,3,,combination,,3,2,['serum']
,9,1,2,norml,dark,0,9,"['toner', 'facewash']"
7,0,2,2,,fair,1,4,['moisturizer']
9,2,2,,,dark,3,3,['serum']
,,0,7,combination,medum,0,6,['sunscreen']
4,3,3,7,DRY,olive,10,10,"['sunscreen', 'moisturizer']"
5,0,9,, COMBINATION,,1,5,['toner']
8,,5,7,normal,brown,9,1,moistrzr
,5,4,2,norml, FAIR ,3,6,moistrzr
3,8,10,9,norml,,1,4,
7,4,,7,norml, brown ,7,8,"['sunscreen', 'serum']"
9,5,3,10,OILY,FAIR,2,4,
5,2,1,6, norml ,medium,10,4,face wash
8,2,7,,combination,,,8,
4,9,5,8,dry,medium,6,4,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
1,3,1,2,, Dark,9,2,['sunscreen']
3,5,2,9,,olive,0,0,['toner']
8,8,4,8,OILY,olive,10,,"['sunscreen', 'serum']"
8,6,8,1,normal,olive,10,,['serum']
7,6,5,4,Dry, brown ,3,6,['moisturizer']
2,7,1,0,OILY,medium,10,1,['moisturizer']
8,,,7,dry, medum ,2,6,"['moisturizer', 'serum']"
1,7,6,4,,olive,10,3,"['toner', 'facewash']"
0,4,8,9,norml,medum,3,8,moistrzr
1,3,8,3, combination ,dark,4,,['facewash']
7,0,,8,combination,IFRA,8,3,serumm
1,8,3,5,normal,fair,0,8,"['toner', 'facewash']"
4,2,3,0,loyi,BROWN,8,7,
3,1,8,3,DRY,medum,8,9,serumm
2,6,6,9,dry,BROWN,3,1,['moisturizer']
10,8,3,7,combination,brown,1,7,"['toner', 'facewash', 'sunscreen']"
,9,4,6,Dry,,6,8,face wash
2,9,3,9,DRY,,3,9,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
4,5,2,3, COMBINATION, dark ,2,1,['moisturizer']
9,8,0,1,OILY,,7,6,['serum']
0,4,9,5,oily,,4,3,['facewash']
0,6,8,5,,medum,2,9,moistrzr
,9,4,0,oily,brown,4,0,"['toner', 'facewash']"
8,,2,8,oily,fair,,6,['serum']
8,5,9,4,SENSITIVE,,,5,['serum']
4,1,7,,normal,brown,5,4,['toner']
4,8,0,8, dry , fair ,5,3,
9,6,8,4, COMBINATION,medium,4,7,['facewash']
6,7,10,9, COMBINATION,brown,1,,"['toner', 'facewash', 'sunscreen']"
2,5,5,1, Dry , Dark,6,8,['moisturizer']
9,10,0,7,oily,fair,1,0,"['toner', 'facewash', 'serum']"
7,1,5,5,,medum,4,7,['serum']
2,9,3,6,  COMBINATION ,olive,6,,['facewash']
1,10,1,,norml,dark,9,8,"['toner', 'facewash']"
9,,3,8,combination,MEDUM,2,4,
9,8,5,2,NORMAL,medium,9,8,['serum']
5,3,3,7, Dry ,,6,0,"['sunscreen', 'moisturizer']"
5,,2,8,combination,fair,9,1,['sunscreen']
5,0,10,1,OILY, medium ,4,0,serumm
7,0,8,9, Dry ,,10,2,"['sunscreen', 'moisturizer']"
,0,8,3,sensitive, DARK,0,,['serum']
6,1,6,6,,FAIR,9,8,['moisturizer']
6,0,7,7,Dry, Dark,,7,"['sunscreen', 'moisturizer']"
3,7,4,3,, medum ,5,1,moistrzr
1,1,8,9,normal,brown,2,9,['sunscreen']
3,9,7,3,dry,medum,10,9,"['toner', 'facewash', 'moisturizer']"
,6,4,8,,,3,,['sunscreen']
1,0,10,,,AIRF,9,1,['toner']
7,5,4,1, COMBINATION,brown,6,1,['serum']
4,1,10,,sensitive,FAIR,10,10,['toner']
1,6,,4,OILY,FAIR,6,3,['toner']
1,2,1,4,combination, Dark,5,,['moisturizer']
,3,7,3, COMBINATION,,6,5,
,,,5,SENSITIVE,olive,2,6,['serum']
8,,0,9,molrna,medium,,,['sunscreen']
,7,8,,OILY,fair,8,4,"['toner', 'facewash']"
7,6,6,3,norml,,1,4,['serum']
10,10,,8,dry,brown,5,,"['facewash', 'serum', 'toner', 'sunscreen', 'moisturizer']"
2,3,8,10, COMBINATION, medium ,5,3,
0,7,10,1,sensitive,dark,10,10,['sunscreen']
7,5,7,5,,medum,4,4,['serum']
9,,10,7,normal,dark,,7,face wash
7,6,1,10,OILY,medum,8,6,['sunscreen']
10,5,8,,OILY,olive,10,1,['serum']
0,9,2,10,,FAIR,4,0,['sunscreen']
3,7,5,0,Dry,fair,0,2,serumm
9,7,10,10,combination,fair,7,2,"['toner', 'facewash']"
6,2,3,8,OILY,olive,3,2,['serum']
4,,4,3,norml,fiar,7,3,['moisturizer']
1,9,5,1,oily,olive,2,0,['sunscreen']
4,8,1,6,oily,dark,,1,face wash
7,,5,3,sensitive,olive,3,1,
2,6,2,4,dry,,9,5,['moisturizer']
5,,5,2,dry,olive,6,6,['moisturizer']
3,1,10,6,normal,brown,2,,['toner']
1,,8,7,,olive,5,5,['sunscreen']
0,1,3,2,OILY, Dark,0,7,['toner']
,3,8,10,oily,rakd,,0,face wash
9,0,0,0,NORML,medum,3,0,['serum']
1,3,6,1,  COMBINATION ,dark,7,6,['sunscreen']
8,5,3,5,Dry,FAIR,3,6,serumm
8,2,2,,OILY,,0,0,['serum']
2,6,10,8, COMBINATION,krad,1,6,['sunscreen']
0,1,,10,dry,dark,4,7,"['sunscreen', 'moisturizer']"
,1,0,6,normal, Dark,5,7,face wash
10,7,1,7,norml,FAIR,5,,
6,1,7,8,combination,FAIR,6,3,['sunscreen']
8,,3,8, oily , Dark,7,3,face wash
7,7,6,9, norml , medium ,5,7,"['toner', 'facewash', 'serum', 'sunscreen']"
,4,3,1,OILY,olive,10,7,['moisturizer']
8,3,3,,norml,brown,1,6,['serum']
4,,3,7,dry,medium,7,,"['sunscreen', 'moisturizer']"
5,2,0,8,normal,fair,8,2,['serum']
3,6,1,2,sensitive,olive,5,10,['moisturizer']
7,0,3,0,combination,dark,1,7,
5,8,1,2,OILY,fair,8,8,"['toner', 'facewash']"
5,2,4,,normal,medum,6,9,['serum']
,7,5,7,  COMBINATION ,olive,1,2,serumm
6,9,0,6,NORMAL,brown,5,7,"['toner', 'facewash']"
6,3,2,2,sensitive, fair ,3,8,['sunscreen']
8,,4,0, normal , dark ,3,1,['serum']
7,3,4,10,NORML,fair,3,4,['facewash']
,4,10,2,Dry,MEDUM,6,2,serumm
1,2,10,2, OILY ,iemdum,7,3,['sunscreen']
2,,4,3,  COMBINATION , FAIR ,8,7,moistrzr
10,6,7,4,oily,brown,3,6,['serum']
0,5,7,6,dry, Dark,1,6,['moisturizer']
5,4,3,,,dkra,1,6,['moisturizer']
9,2,4,7,normal,dark,7,5,"['sunscreen', 'serum']"
4,1,8,,DRY,BROWN,10,1,['moisturizer']
0,3,3,4,normal,,4,7,
10,10,,5, norml ,BROWN,,1,"['toner', 'facewash', 'serum']"
7,,8,10,combination, brown ,6,9,['sunscreen']
10,,2,5,oily,FAIR,8,8,['serum']
3,9,,10,OILY,FAIR,8,1,
1,4,0,7,,,4,,['toner']
,8,,6,NORMAL,medum,,5,"['toner', 'facewash']"
10,6,10,0,dry,medium,3,6,face wash
,0,10,5,norml,  Dark ,3,2,['facewash']
4,8,9,9,normal,medium,10,9,face wash
2,4,9,4, oily ,FAIR,8,10,['sunscreen']
9,10,3,0,, Dark,9,,"['toner', 'facewash', 'serum']"
0,5,9,9,sensitive,imeudm,6,,['sunscreen']
9,3,8,0,oily,olive,8,7,['serum']
4,5,6,3,DRY,FAIR,,6,['moisturizer']
10,5,10,5,OILY,brown,1,4,
,6,3,0,normal,brown,,5,['facewash']
6,10,7,2,oily,olive,,9,
1,,1,,combination,medium,9,1,serumm
8,0,4,,oily,FAIR,4,7,['toner']
7,10,7,1, COMBINATION, Dark,7,4,"['toner', 'facewash', 'serum']"
0,6,5,4, OILY ,dark,0,0,
5,9,,9,oily,fair,9,0,"['toner', 'facewash', 'sunscreen']"
8,3,4,1,,FAIR,,7,['serum']
1,2,8,1, Dry ,dark,5,3,
6,,9,8,dry,olive,8,9,
3,0,1,7,normal, olive ,9,7,['sunscreen']
1,3,0,6,OILY,MEDUM,,10,face wash
7,8,,2,combination,dark,4,5,"['toner', 'facewash']"
5,9,7,5, COMBINATION, medium ,5,3,"['toner', 'facewash']"
6,7,2,6, norml ,,2,7,serumm
0,0,,9,sensitive,FAIR,8,3,
5,4,0,5,oily,FAIR,8,2,['toner']
,2,1,3,,FAIR,,2,
1,0,2,9,norml,fair,5,8,['sunscreen']
10,4,2,4,sensitive,fair,4,4,['toner']
6,4,6,8,nmarlo,BROWN,4,1,['sunscreen']
4,,3,1,normal,fair,9,2,['toner']
8,8,7,7, COMBINATION,brown,,7,['toner']
7,0,5,8,,medium,7,2,['sunscreen']
10,0,1,10, dry ,DARK,1,6,face wash
5,10,1,7, oily ,FAIR,8,6,
3,0,3,3,OILY,medium,7,3,['moisturizer']
3,1,9,6,dry,olive,,10,
5,,6,5, sensitive ,,2,3,['moisturizer']
9,4,8,5,Dry,olive,3,10,['moisturizer']
,6,1,3, COMBINATION,brown,,3,moistrzr
3,10,8,10,COMBINATION,FAIR,1,5,"['toner', 'facewash', 'sunscreen']"
7,7,10,6, COMBINATION,BROWN,9,10,serumm
3,6,9,5,dry,medum,10,5,['moisturizer']
1,7,7,10,mrnol, medum ,6,10,face wash
8,7,8,8,sensitive, Dark,5,1,
6,2,6,8,NORML,medium,9,9,['sunscreen']
1,5,5,8,dry,MEDUM,8,4,['moisturizer']
4,8,7,6,Dry,FAIR,7,5,['moisturizer']
2,,7,7,dry,FAIR,,6,moistrzr
2,,,7, COMBINATION,  Dark ,8,2,['sunscreen']
2,5,,9, COMBINATION,FAIR,0,5,moistrzr
2,10,3,8,NORMAL,brown,2,0,['sunscreen']
2,6,6,10,stisveine, fair ,4,0,['sunscreen']
10,7,9,7, COMBINATION,medum,9,9,"['toner', 'facewash', 'serum', 'sunscreen']"
9,1,9,2,normal, Dark,3,0,['serum']
3,4,2,10,normal,dark,9,1,serumm
5,,6,10,NORML,,,3,['sunscreen']
2,5,8,,,dark,6,8,moistrzr
7,4,8,6,Dry,fair,4,7,"['moisturizer', 'serum']"
,8,9,0,SENSITIVE,dark,8,6,moistrzr
0,0,4,, combination ,medum,8,5,['toner']
9,7,5,10,oily,DARK,5,3,face wash
10,4,1,2,Dry,medum,2,10,"['moisturizer', 'serum']"
4,4,5,4,OILY,medum,5,7,['moisturizer']
1,3,5,4,norml, Dark,0,8,['facewash']
2,1,8,6,OILY, DARK,4,5,['toner']
10,3,0,,OILY,,8,0,['serum']
9,2,,6,dry,fair,8,,['moisturizer']
2,6,3,2,sensitive,MEDUM,6,10,moistrzr
10,6,3,6,normal,olive,10,,face wash
0,1,3,7,DRY,fair,2,,"['sunscreen', 'moisturizer']"
,5,8,8,norml,,3,8,['sunscreen']
5,1,9,10,oily,medum,5,1,['sunscreen']
7,3,,7,OILY,medium,10,7,"['sunscreen', 'serum']"
5,,0,6,Dry,FAIR,7,8,['moisturizer']
1,0,3,4,,MEDIUM,9,0,
4,5,2,6,Dry,rifa,5,3,
2,4,2,,Dry,dark,8,8,moistrzr
5,10,5,3,BANIO COTINM,olive,3,1,"['toner', 'facewash']"
9,3,7,9,Dry, Dark,,,"['sunscreen', 'moisturizer', 'serum']"
0,1,1,10,combination, medum ,5,6,
2,10,,4, COMBINATION,medum,4,10,"['toner', 'facewash']"
3,8,7,3,OCOTNIAB NIM,OLIVE,3,1,['serum']
8,2,3,6, COMBINATION,fair,9,7,['serum']
,3,6,9,montiocibna,olive,0,,['moisturizer']
,5,,7,norml,medum,4,4,['facewash']
1,,,8,dry,medium,,,['moisturizer']
8,3,10,0,mlnor, dark ,1,0,moistrzr
7,,9,5,sinteisev,FAIR,1,5,['serum']
,2,8,1, COMBINATION,olive,10,4,['serum']
10,1,6,10,combination, Dark,9,8,face wash
6,4,3,3,,brown,9,7,['serum']
9,9,,9,combination,medum,9,0,"['toner', 'facewash', 'serum', 'sunscreen']"
4,1,10,,OILY,dark,6,9,['facewash']
7,5,8,5,, medum ,6,,
8,10,7,0,combination,,3,6,
,7,6,2,Dry,dark,3,6,"['toner', 'facewash', 'moisturizer']"
7,6,5,,DRY,medium,8,10,
6,7,5,0,oily,medum,0,5,['facewash']
1,7,0,1,OILY,AFIR,7,,"['toner', 'facewash']"
9,1,1,10,oily,brown,,4,moistrzr
4,7,6,8,oily,FAIR,,9,['sunscreen']
3,1,2,0,norml,olive,0,6,['moisturizer']
4,2,6,1,dry,rnowb,2,0,moistrzr
7,,6,10,combination,FAIR,8,5,
1,1,8,9,Dry,medum,7,8,"['sunscreen', 'moisturizer']"
3,3,1,9,combination,olive,0,9,['sunscreen']
,9,9,10,NORML,FAIR,7,1,moistrzr
10,7,0,0,Dry,fair,3,6,
8,4,1,6,norml, Drka,10,1,face wash
8,8,2,7, COMBINATION, DARK,10,3,"['toner', 'facewash', 'sunscreen']"
,0,4,10, COMBINATION,olive,3,0,['serum']
9,7,7,7,iinvstsee,medium,2,5,serumm
6,8,4,,normal,,5,9,"['toner', 'facewash']"
9,,3,0, combination , dark ,0,9,['serum']
4,2,4,4,OILY,fair,0,7,moistrzr
4,,,7, COMBINATION,,0,2,['sunscreen']
6,,0,4,OILY,medum,8,5,serumm
9,1,10,8,Dry,MEDUM,5,4,"['moisturizer', 'serum']"
4,2,5,3,Dry,olive,,1,['moisturizer']
2,8,10,10, oily ,olive,8,5,"['toner', 'facewash']"
9,9,8,3,norml,olive,10,4,"['toner', 'facewash', 'serum']"
9,5,8,4,normal,fair,7,10,
0,,9,0,SENSITIVE,medum,9,5,['toner']
6,,0,5,dry,,9,4,['moisturizer']
5,10,9,6,norml,olive,6,1,face wash
2,5,2,1,oily,dark,3,4,['moisturizer']
10,9,8,2,OILY, Dark,2,5,"['toner', 'facewash', 'serum']"
4,5,6,10,sensitive,brown,2,4,['serum']
7,3,9,1,Dry,olive,3,1,"['moisturizer', 'serum']"
2,3,3,9,NORMAL,duiemm,8,9,['sunscreen']
5,8,3,8,sensitive,DARK,,8,"['toner', 'facewash', 'sunscreen']"
5,4,2,4,norml,medum,2,4,['toner']
4,1,8,,OIAMNCNIOBT ,medum,5,4,['moisturizer']
3,7,1,7,combination,dark,0,9,"['toner', 'facewash', 'sunscreen']"
0,2,4,5,sensitive,,3,6,
6,1,1,,OILY, Dark,1,8,
4,10,7,4,norml,brown,10,4,['serum']
0,5,,2, Dry ,medium,5,,['moisturizer']
7,0,8,,Dry,dark,0,9,"['moisturizer', 'serum']"
8,1,2,1,Dry, olive ,7,1,"['moisturizer', 'serum']"
9,1,0,6,Dry,brown,1,9,"['moisturizer', 'serum']"
4,4,2,2, COMBINATION,fair,2,5,serumm
3,2,,2,norml,brown,,5,['serum']
3,7,2,2,sensitive,brown,2,7,"['toner', 'facewash']"
3,0,1,9,oily,dark,,2,
5,7,,,OILY,brown,0,9,face wash
1,2,6,,combination, medum ,2,7,
8,9,6,3, oily ,FAIR,3,,"['toner', 'facewash', 'serum']"
5,3,4,8,OILY,lvoie,6,7,['sunscreen']
4,4,10,6,sensitive,medum,10,7,['serum']
8,1,2,1,NORML, medium ,,6,['sunscreen']
1,1,1,3,normal,  Dark ,0,1,['sunscreen']
2,6,9,0,oily,brown,5,2,['moisturizer']
2,,3,6,OILY,dark,2,,face wash
,10,6,1,sensitive, medium ,4,5,face wash
9,,,4,Dry, Dark,,10,"['moisturizer', 'serum']"
6,1,10,0, COMBINATION, Dark,1,2,['moisturizer']
10,1,10,, Dry ,medium,,10,"['moisturizer', 'serum']"
10,8,,8, COMBINATION,,10,2,['serum']
0,10,4,9,Dry,medium,,,"['sunscreen', 'moisturizer']"
3,1,1,2,Dry,dark,4,3,
1,10,9,1,notciiambno,FAIR,5,6,moistrzr
9,5,6,0,,brown,5,10,['serum']
2,0,7,, combination ,fair,9,7,['serum']
9,,3,3, normal ,medum,9,3,['moisturizer']
5,8,4,,norml,medum,7,7,"['toner', 'facewash']"
3,10,9,8,,olive,8,4,"['toner', 'facewash', 'sunscreen']"
5,4,2,10,norml, Dark,,8,['facewash']
3,8,8,6,, Dark,7,2,"['toner', 'facewash']"
4,2,6,5,COMBINATION,,,2,serumm
8,0,9,2,NORML, Dark,10,9,['serum']
10,6,2,2,Dry,fair,1,8,"['moisturizer', 'serum']"
10,3,9,5,OILY,brown,1,8,['serum']
6,9,4,6,Dry,raD k,3,9,['moisturizer']
6,,6,3,OILY,brown,3,0,['sunscreen']
2,4,4,1,dry,medum,3,0,['moisturizer']
8,0,5,,OILY, Dark,2,0,moistrzr
6,2,9,5,combination,BROWN,5,3,['moisturizer']
10,5,10,9,sensitive,FAIR,3,7,serumm
8,1,6,8,,olive,8,4,face wash
0,5,7,0,OILY,,1,0,['facewash']
4,1,9,9,combination,,3,,moistrzr
6,7,4,1, Dry ,fair,7,0,moistrzr
6,0,5,5,,OLIVE,4,1,['moisturizer']
1,,4,4,dry,FAIR,6,5,
1,,0,4,amrnol,olive,3,2,['sunscreen']
,9,1,3, COMBINATION,MEDUM,1,3,"['toner', 'facewash']"
2,8,6,10, COMBINATION, dark ,2,7,
8,6,5,3,Dry,dark,4,7,['moisturizer']
2,1,2,6,OILY,fair,,0,['toner']
6,8,2,,,medium,7,3,serumm
7,4,2,3,combination, Dark,3,7,serumm
5,6,8,5,sensitive,dark,2,2,['moisturizer']
10,2,9,1, sensitive ,FAIR,0,10,
9,0,,, dry , Dkar,4,8,face wash
,8,4,7,,dark,3,4,"['toner', 'facewash']"
2,,2,4,combination,medum,,,serumm
5,8,0,9,combination,brown,5,0,moistrzr
5,1,7,10,NORMAL,medum,2,9,
5,5,3,4,,medium,1,9,['serum']
9,7,9,6,NCIA TONBIOM, Dark,,5,['facewash']
,0,4,6, COMBINATION, medum ,0,1,['sunscreen']
8,2,5,6,normal,medum,8,4,['serum']
3,10,1,2,,brown,4,,"['toner', 'facewash']"
1,3,0,3,OIYL, Dark,6,2,['serum']
9,7,5,5, oily , Dark,0,4,"['toner', 'facewash']"
2,9,0,7,SENSITIVE, dark ,6,6,face wash
9,9,9,3,Dry,ideumm,10,5,"['toner', 'facewash', 'moisturizer', 'serum']"
8,2,8,3, sensitive , Dark,4,,['serum']
,,7,7,Dry, DARK,7,2,face wash
9,5,6,8, combination ,dark,9,9,['sunscreen']
3,4,7,,sensitive,fair,5,3,['serum']
4,10,4,1,combination,MEDIUM,7,1,"['toner', 'facewash']"
3,4,0,5, COMBINATION,BROWN,1,4,['moisturizer']
5,10,7,8, COMBINATION,medum,5,4,"['toner', 'facewash']"
3,1,1,6,normal,fair,4,6,['moisturizer']
10,0,0,4,, brown ,1,7,['sunscreen']
2,0,1,9,,krad,9,6,['sunscreen']
5,7,,9,combination,medium,7,2,"['toner', 'facewash', 'sunscreen']"
5,,9,10,sensitive,brown,0,0,['sunscreen']
6,10,2,2,combination, medum ,4,10,face wash
5,1,2,5,oily,,2,4,['moisturizer']
8,2,10,,normal,medium,10,4,serumm
4,,5,5, OILY ,BROWN,,10,['toner']
8,4,0,7,dry,medium,6,6,['moisturizer']
4,0,8,10,DRY,olive,8,7,['moisturizer']
4,2,,0,combination,medum,2,10,['facewash']
6,,6,10,oily,medum,4,5,['sunscreen']
6,9,6,6,oily,  Dark ,6,10,['toner']
6,2,2,6,Dry,olive,1,1,['moisturizer']
2,3,5,7, Dry ,medium,9,9,"['sunscreen', 'moisturizer']"
6,3,1,1,dry,demumi,3,5,serumm
2,5,4,4,,fair,1,7,['toner']
,10,1,6,dry,olive,8,8,
,6,,5,Dry,FAIR,0,1,serumm
3,3,1,7, COMBINATION,medum,1,,['facewash']
3,,9,0,Dry,olive,7,,['moisturizer']
6,7,4,7,  COMBINATION ,dark,9,10,['sunscreen']
7,8,1,2,dry,,0,3,
4,10,0,7, norml ,rkda,1,,"['toner', 'facewash', 'sunscreen']"
1,4,,8, COMBINATION,FAIR,,1,['sunscreen']
2,6,,2,,medum,0,5,['facewash']
2,,,0,OILY,,,1,serumm
9,7,1,10,normal, Dark,1,10,serumm
,9,9,7,combination,medium,5,10,
,2,0,,norml,drka,2,8,['serum']
4,5,,0, COMBINATION, Dark,9,0,['toner']
3,2,,7,normal,DARK,6,10,serumm
,7,9,6,sensitive,brown,9,1,"['toner', 'facewash']"
3,10,5,2,ryD,olive,2,5,"['toner', 'facewash']"
,0,4,0,combination,medum,,7,['moisturizer']
1,5,9,9,norml, Dark,4,9,['sunscreen']
3,,2,3,dry,medium,1,1,moistrzr
1,10,,,Dry,medium,1,5,"['toner', 'facewash', 'moisturizer']"
2,9,4,0,dry,FAIR,7,3,['moisturizer']
8,3,1,2,nseietsiv,MEDIUM,4,9,moistrzr
5,,3,6,oily,fair,9,2,
6,3,7,8,normal,,,7,['facewash']
7,1,8,5,oily,olive,10,3,['serum']
4,9,4,6,Dry,BROWN,8,6,face wash
,,9,9,oily,dmeuim,3,5,['sunscreen']
,8,,0,dry,dark,7,10,['moisturizer']
6,8,10,2,, brown ,9,4,['serum']
2,4,9,0,combination, Dark,10,3,['facewash']
5,1,6,7,SENSITIVE,,0,3,['sunscreen']
10,3,4,3,,FAIR,,6,
,0,8,0,normal,rfia,,1,['moisturizer']
3,5,4,10,acnioimbotn,dark,5,2,['sunscreen']
4,1,6,2,oily,brown,0,7,['sunscreen']
7,2,6,8,OILY,brown,7,2,"['sunscreen', 'serum']"
1,9,6,6,OILY,medium,,4,"['toner', 'facewash']"
3,7,,, dry ,MEDIUM,1,0,serumm
3,6,8,8,NORMAL,dark,9,0,moistrzr
4,6,6,9,oily,fair,5,10,['sunscreen']
9,3,2,8,combination,FAIR,9,3,['serum']
7,0,6,5, normal , DARK,0,3,['serum']
4,10,7,3,combination,brown,2,1,face wash
3,10,9,3,combination,FAIR,9,4,['toner']
,8,1,4,oily, Dark,10,9,"['toner', 'facewash']"
8,2,0,1,normal, Dark,5,4,face wash
0,0,10,3, COMBINATION,medum,3,5,['moisturizer']
5,9,5,,sensitive,medum,,8,"['toner', 'facewash']"
10,6,6,10,oily,FAIR,6,1,
1,5,6,2,,olive,,,['facewash']
,6,3,6,,medum,4,0,moistrzr
9,3,6,1,,medium,,0,['serum']
1,9,7,10,sensitive,FAIR,7,7,
0,0,9,3,Dry,brown,5,,['moisturizer']
1,2,5,9,OILY,brown,3,1,['sunscreen']
6,3,7,7,combination,olive,,9,['sunscreen']
,3,6,9,OILY,brown,9,0,['toner']
3,1,8,4,  COMBINATION ,medium,2,3,['sunscreen']
5,9,0,6,normal, medum ,7,6,face wash
6,8,3,6,combination,brown,8,4,"['toner', 'facewash']"
1,4,3,7,combination,FAIR,4,8,['toner']
8,2,9,5,Dry,FAIR,5,3,['moisturizer']
,9,2,,,rafi,6,4,"['toner', 'facewash']"
9,6,,7,Dry,olive,2,6,"['sunscreen', 'moisturizer', 'serum']"
,2,9,8,dry,dark,1,3,"['sunscreen', 'moisturizer']"
5,2,9,9,DRY,obnwr,6,6,['moisturizer']
4,2,1,3,OILY,brown,3,10,moistrzr
7,7,,5,COMBINATION, DARK,,,"['toner', 'facewash', 'serum']"
4,3,3,10,normal, FAIR ,1,9,['sunscreen']
0,5,6,4, COMBINATION,OLIVE,,,moistrzr
,10,1,10, COMBINATION,olive,3,10,face wash
8,4,2,5,, Dark,2,4,['serum']
2,5,9,4,sensitive, olive ,8,,['toner']
5,7,6,5,OILY,medium,1,6,"['toner', 'facewash']"
7,0,8,3, oily ,medum,,9,['serum']
,9,,1,sensitive,dark,0,3,['facewash']
1,,9,, OILY ,rnbow,7,10,['toner']
5,0,8,5,oily,olive,9,0,['serum']
0,7,5,7,Dry, Dark,7,10,"['toner', 'facewash', 'moisturizer']"
7,9,6,6,dry,FAIR,9,,"['moisturizer', 'serum']"
8,1,10,8,,medium,9,2,face wash
1,3,4,1,,,0,9,moistrzr
10,4,8,4,oily, brown ,10,9,['serum']
8,9,5,2, COMBINATION,medum,3,3,"['toner', 'facewash']"
0,2,2,0,dry,dark,8,10,['moisturizer']
0,8,0,,,medum,1,5,"['toner', 'facewash']"
6,10,0,2, COMBINATION,,,7,moistrzr
8,,1,9,norml,fair,8,3,['serum']
4,,8,5, combination ,brown,9,8,['serum']
8,6,9,8,ryd,medum,4,4,"['sunscreen', 'serum']"
,9,3,8, COMBINATION,dark,6,6,serumm
2,3,6,10,oily,fair,10,4,moistrzr
2,0,6,,oily, olive ,9,6,face wash
1,3,1,,  COMBINATION , Dark,6,0,['serum']
1,1,3,2,, DARK,0,1,['facewash']
10,8,0,8,OILY,olive,6,1,
1,4,4,3,NORMAL, Dark,9,9,['toner']
2,3,9,3, COMBINATION,FAIR,1,4,['toner']
4,4,10,10,,fair,9,0,['toner']
5,10,1,6,sensitive,medum,3,4,"['toner', 'facewash']"
4,4,1,4,OILY,olive,2,3,['facewash']
1,3,8,7,norml,medium,,2,serumm
0,0,5,2,ONI ANBIMCOT,brown,3,0,['sunscreen']
7,0,4,5,normal,fair,1,6,['serum']
6,0,,3,OILY,,4,0,['facewash']
0,6,8,, COMBINATION,FAIR,1,5,['toner']
5,1,,3,Dry, medum ,6,5,['moisturizer']
,10,,7,combination,ARFI,6,8,['sunscreen']
2,0,1,10, dry ,OLIVE,0,,['moisturizer']
4,9,1,2,rmnlo,fair,7,,"['toner', 'facewash']"
4,3,4,9,sensitive, FAIR ,5,6,['sunscreen']
8,0,,8,OILY,fair,4,7,moistrzr
0,3,8,0, COMBINATION,fair,0,3,['sunscreen']
2,6,,2,rlnmo,brown,0,10,['facewash']
9,1,9,3,NORMAL,olive,0,0,['serum']
7,,7,3,dry,brown,5,2,"['moisturizer', 'serum']"
10,7,3,2, dry , olive ,3,5,
10,,6,3,dry,,7,6,['moisturizer']
1,7,,4,NORMAL,fair,3,3,['sunscreen']
3,5,10,3,normal,brown,6,6,['sunscreen']
4,4,9,7, combination ,MEDUM,6,6,['sunscreen']
5,,,9,combination, Dark,1,9,
,9,6,9, COMBINATION, Dark,6,6,
,0,1,8,dry,olive,7,,"['sunscreen', 'moisturizer']"
9,0,5,8, norml ,dark,,2,['sunscreen']
3,2,5,8,sensitive,dark,7,9,['sunscreen']
3,1,7,7,OILY,,,5,
7,8,0,8,dry, medium ,1,0,serumm
7,7,10,3,,olive,7,6,"['toner', 'facewash', 'serum']"
1,,9,3,oily,rfai,2,0,['toner']
